runId,scenario,variant,repeat,action,count,percent
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,advance,18,15.652
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,close-attack,9,7.826
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,hold-attack,2,1.739
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,jump-advance,6,5.217
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,jump-sprint,3,2.609
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,sprint-advance,77,66.957
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,advance,22,18.966
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,close-attack,12,10.345
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,hold-attack,1,0.862
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,jump-advance,2,1.724
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,jump-sprint,4,3.448
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,sprint-advance,75,64.655
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,advance,23,20
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,close-attack,9,7.826
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,hold-attack,1,0.87
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,jump-advance,6,5.217
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,jump-sprint,3,2.609
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,sprint-advance,73,63.478
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,advance,10,8.85
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,close-attack,10,8.85
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,hold-attack,2,1.77
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,jump-advance,3,2.655
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,jump-sprint,2,1.77
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,sprint-advance,86,76.106
standard-mcts-r5,Standard MCTS run 5 vs balanced opponent,Standard MCTS,5,advance,17,15.044
standard-mcts-r5,Standard MCTS run 5 vs balanced opponent,Standard MCTS,5,close-attack,11,9.735
standard-mcts-r5,Standard MCTS run 5 vs balanced opponent,Standard MCTS,5,hold-attack,2,1.77
standard-mcts-r5,Standard MCTS run 5 vs balanced opponent,Standard MCTS,5,jump-advance,5,4.425
standard-mcts-r5,Standard MCTS run 5 vs balanced opponent,Standard MCTS,5,jump-sprint,1,0.885
standard-mcts-r5,Standard MCTS run 5 vs balanced opponent,Standard MCTS,5,sprint-advance,77,68.142
standard-mcts-r6,Standard MCTS run 6 vs defensive opponent,Standard MCTS,6,advance,15,13.393
standard-mcts-r6,Standard MCTS run 6 vs defensive opponent,Standard MCTS,6,close-attack,11,9.821
standard-mcts-r6,Standard MCTS run 6 vs defensive opponent,Standard MCTS,6,jump-advance,1,0.893
standard-mcts-r6,Standard MCTS run 6 vs defensive opponent,Standard MCTS,6,jump-sprint,5,4.464
standard-mcts-r6,Standard MCTS run 6 vs defensive opponent,Standard MCTS,6,sprint-advance,80,71.429
standard-mcts-r7,Standard MCTS run 7 vs aggressive opponent,Standard MCTS,7,advance,17,14.783
standard-mcts-r7,Standard MCTS run 7 vs aggressive opponent,Standard MCTS,7,close-attack,11,9.565
standard-mcts-r7,Standard MCTS run 7 vs aggressive opponent,Standard MCTS,7,hold-attack,1,0.87
standard-mcts-r7,Standard MCTS run 7 vs aggressive opponent,Standard MCTS,7,jump-advance,2,1.739
standard-mcts-r7,Standard MCTS run 7 vs aggressive opponent,Standard MCTS,7,jump-sprint,1,0.87
standard-mcts-r7,Standard MCTS run 7 vs aggressive opponent,Standard MCTS,7,sprint-advance,83,72.174
standard-mcts-r8,Standard MCTS run 8 vs strong opponent,Standard MCTS,8,advance,13,13.542
