runId,scenario,variant,repeat,tick,distance,alphaHealth,bravoHealth,attacksThisTick,lastAction
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,1,8.383,19,20,0,sprint-advance
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,2,8.285,19,20,0,sprint-advance
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,3,7.942,19,20,0,sprint-advance
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,4,7.5,19,20,0,sprint-advance
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,5,7.003,19,20,0,sprint-advance
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,6,6.477,19,20,0,sprint-advance
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,7,5.936,19,20,0,sprint-advance
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,8,5.414,19,20,0,jump-advance
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,9,4.934,19,20,0,advance
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,10,4.446,19,20,0,advance
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,11,3.954,19,20,0,advance
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,12,3.46,19,20,0,jump-advance
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,13,2.995,19,20,0,close-attack
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,14,2.74,19,16,2,hold-attack
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,15,2.376,15,16,0,sprint-advance
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,16,1.952,15,16,0,sprint-advance
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,17,1.465,15,16,0,sprint-advance
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,18,0.945,15,16,0,sprint-advance
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,19,0.436,15,16,0,sprint-advance
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,20,0.097,15,16,0,sprint-advance
